;07 Август 2013 г.;108,88;10,888;1108,88;;
;08 Август 2013 г.;109,60;10,960;1109,60;;
;09 Август 2013 г.;110,32;11,032;1110,32;;
;10 Август 2013 г.;111,04;11,104;1111,04;;
;11 Август 2013 г.;111,77;11,177;1111,77;;
;12 Август 2013 г.;112,49;11,249;1112,49;;
;13 Август 2013 г.;113,21;11,321;1113,21;;
;14 Август 2013 г.;113,94;11,394;1113,94;;
;15 Август 2013 г.;114,66;11,466;1114,66;;
;16 Август 2013 г.;115,39;11,539;1115,39;;
;17 Август 2013 г.;116,11;11,611;1116,11;;
;18 Август 2013 г.;116,84;11,684;1116,84;;
;19 Август 2013 г.;117,56;11,756;1117,56;;
;20 Август 2013 г.;118,29;11,829;1118,29;;
;21 Август 2013 г.;119,02;11,902;1119,02;;
;22 Август 2013 г.;119,74;11,974;1119,74;;
;23 Август 2013 г.;120,47;12,047;1120,47;;
;24 Август 2013 г.;121,20;12,120;1121,20;;
;25 Август 2013 г.;121,93;12,193;1121,93;;
;26 Август 2013 г.;122,66;12,266;1122,66;;
;27 Август 2013 г.;123,39;12,339;1123,39;;
;28 Август 2013 г.;124,12;12,412;1124,12;;
;29 Август 2013 г.;124,85;12,485;1124,85;;
;30 Август 2013 г.;125,58;12,558;1125,58;;
;31 Август 2013 г.;126,31;12,631;1126,31;;
;01 Сентябрь 2013 г.;127,05;12,705;1127,05;"Полгода";25,41%
;02 Сентябрь 2013 г.;127,78;12,778;1127,78;;
;03 Сентябрь 2013 г.;128,51;12,851;1128,51;;
;04 Сентябрь 2013 г.;129,25;12,925;1129,25;;
;05 Сентябрь 2013 г.;129,98;12,998;1129,98;;
;06 Сентябрь 2013 г.;130,71;13,071;1130,71;;
;07 Сентябрь 2013 г.;131,45;13,145;1131,45;;
;08 Сентябрь 2013 г.;132,19;13,219;1132,19;;
;09 Сентябрь 2013 г.;132,92;13,292;1132,92;;
;10 Сентябрь 2013 г.;133,66;13,366;1133,66;;
;11 Сентябрь 2013 г.;134,40;13,440;1134,40;;
;12 Сентябрь 2013 г.;135,13;13,513;1135,13;;
;13 Сентябрь 2013 г.;135,87;13,587;1135,87;;
;14 Сентябрь 2013 г.;136,61;13,661;1136,61;;
;15 Сентябрь 2013 г.;137,35;13,735;1137,35;;
;16 Сентябрь 2013 г.;138,09;13,809;1138,09;;
